ID;category;description
123e4567-e89b-12d3-a456-426614174000;Computing;Desktop computers, laptops, and servers
456e789b-12d3-a456-4266-141740001234;Mobile;Smartphones, tablets, and accessories
789b12d3-a456-4266-1417-400012345678;Consumer electronics;Televisions, video games, and audio
abcdef12-3456-7890-1234-56789abcdef0;Software;Operating systems, applications, and development
5bef1a88-d3a9-41aa-aa22-7a1d43399b47;Networking;Networking hardware and software
26a142df-74a2-4042-bf45-5c60987236f6;Cybersecurity;Antivirus, firewalls, and data security
996a0350-f431-42b4-8ec1-710361cb655d;3D Printing;3D printers, filaments, and 3D design
554d401b-971e-4ce4-b5c5-13e387ce4b65;Robotics;Industrial robots, drones, and robotics kits
7d32a75f-20c8-45ac-b748-6e4c565f384d;Internet of Things (IoT);Sensors, actuators, and IoT platforms
23456789-0123-4567-8901-2345abcdef06;Virtual and Augmented Reality;VR/AR headsets and application development
